timestamp_s,offset_px
0.175503,0.00
0.211394,0.00
0.260138,0.00
0.420664,0.00
0.454756,0.00
0.504687,0.00
0.657047,0.00
0.678198,0.00
0.737381,0.00
0.891213,0.00
0.924090,0.00
0.972147,0.00
1.130912,0.00
1.165875,0.00
1.215443,0.00
1.376315,0.00
1.409431,0.00
1.462804,0.00
1.619934,0.00
1.640691,0.00
1.701191,0.00
1.879976,0.00
1.914376,0.00
1.961974,0.00
2.103882,0.00
2.124558,0.00
2.188782,0.00
2.362760,0.00
2.395249,0.00
2.442822,0.00
2.596271,0.00
2.634331,0.00
2.677033,0.00
2.824625,0.00
2.856669,0.00
2.905908,0.00
3.060844,0.00
3.095530,0.00
3.143898,0.00
3.292355,0.00
3.324921,0.00
3.373676,0.00
3.528708,0.00
3.559501,0.00
3.610998,0.00
3.781029,0.00
3.811818,0.00
3.866869,0.00
4.007485,0.00
4.027295,0.00
4.091097,0.00
4.257257,0.00
4.290607,0.00
4.344201,0.00
4.489439,0.00
4.510798,0.00
4.570574,0.00
4.725003,0.00
4.755386,0.00
4.805793,0.00
4.992712,0.00
5.035095,0.00
5.076594,0.00
5.239342,0.00
5.281882,0.00
5.319727,0.00
5.465571,0.00
5.496381,0.00
5.546548,0.00
5.698366,0.00
5.735520,0.00
5.778728,0.00
5.929537,0.00
5.961408,0.00
6.012722,0.00
6.168638,0.00
6.198559,0.00
6.251952,0.00
6.409457,0.00
6.441624,0.00
6.492637,0.00
6.638783,0.00
6.674522,0.00
6.723117,0.00
6.877893,0.00
6.897794,0.00
6.959654,0.00
7.119142,0.00
7.153266,0.00
7.203950,0.00
7.379426,0.00
7.408252,0.00
7.461586,0.00
7.612867,0.00
7.645202,0.00
7.693733,0.00
7.843920,0.00
7.863671,0.00
7.925285,0.00
8.091186,0.00
8.115229,0.00
8.171356,0.00
8.321713,0.00
8.342005,0.00
8.402229,0.00
8.555577,0.00
8.576828,0.00
8.635200,0.00
8.794151,0.00
8.832642,0.00
8.877922,0.00
9.034020,0.00
9.065684,0.00
9.116738,0.00
9.276168,0.00
9.310962,0.00
9.356030,0.00
9.516773,0.00
9.552990,0.00
9.597119,0.00
9.744275,0.00
9.763904,0.00
9.824866,0.00
9.987063,0.00
10.007708,0.00
10.068073,0.00
10.216484,0.00
10.237415,0.00
10.296135,0.00
10.448503,0.00
10.472254,0.00
10.529713,0.00
10.684490,0.00
10.703534,0.00
10.765690,0.00
10.929943,0.00
10.950450,0.00
11.009959,0.00
11.166515,0.00
11.196159,0.00
11.247426,0.00
11.412570,0.00
11.447345,0.00
11.493036,0.00
11.649064,0.00
11.668071,0.00
11.730625,0.00
11.878974,0.00
11.901991,0.00
11.959889,0.00
12.111914,0.00
12.135095,0.00
12.191477,0.00
12.337821,0.00
12.358646,0.00
12.418223,0.00
12.584511,0.00
12.616267,0.00
12.665840,0.00
12.814181,0.00
12.834752,0.00
12.895357,0.00
13.046602,0.00
13.067055,0.00
13.127025,0.00
13.276489,0.00
13.298119,0.00
13.356999,0.00
13.514104,0.00
13.533888,0.00
13.595628,0.00
13.756021,0.00
13.776842,0.00
13.837271,0.00
13.991306,0.00
14.025724,0.00
14.073403,0.00
14.229348,0.00
14.250105,0.00
14.310068,0.00
14.462776,0.00
14.494178,0.00
14.549126,0.00
14.718380,0.00
14.739351,0.00
14.798528,0.00
14.954696,0.00
14.976824,0.00
15.036527,0.00
15.207941,0.00
15.228675,0.00
15.289488,0.00
15.443472,0.00
15.476263,0.00
15.523670,0.00
15.672714,0.00
15.705612,0.00
15.752630,0.00
15.939261,0.00
15.969795,0.00
16.020168,0.00
16.248884,0.00
16.279486,0.00
16.329959,0.00
16.479104,0.00
16.500912,0.00
16.560154,0.00
16.713941,0.00
16.735519,0.00
16.794378,0.00
16.955095,0.00
16.990416,0.00
17.040279,0.00
17.193060,0.00
17.214044,0.00
17.273529,0.00
17.416097,0.00
17.447484,0.00
17.496783,0.00
17.653908,0.00
17.674655,0.00
17.736352,0.00
17.887823,0.00
17.910866,0.00
17.967989,0.00
18.118098,0.00
18.139875,0.00
18.200769,0.00
18.359529,0.00
18.380019,0.00
18.442476,0.00
18.585918,0.00
18.607390,0.00
18.667148,0.00
18.815135,0.00
18.837468,0.00
18.896896,0.00
19.046317,0.00
19.069312,0.00
19.127820,0.00
19.288289,0.00
19.323854,0.00
19.370024,0.00
19.518029,0.00
19.540382,0.00
19.599602,0.00
19.750941,0.00
19.771668,0.00
19.832934,0.00
19.983759,0.00
20.005118,0.00
20.065536,0.00
20.229073,0.00
20.250545,0.00
20.310069,0.00
20.494098,0.00
20.514726,0.00
20.575360,0.00
20.733888,0.00
20.755006,0.00
20.813428,0.00
20.957249,0.00
20.988257,0.00
21.038186,0.00
21.186327,0.00
21.218773,0.00
21.268951,0.00
21.425267,0.00
21.445767,0.00
21.506860,0.00
21.665756,0.00
21.686348,0.00
21.746279,0.00
21.914568,0.00
21.946829,0.00
21.998151,0.00
22.140533,0.00
22.160346,0.00
22.223092,0.00
