timestamp,offset,inference_time_ms
2026-01-11 18:10:37.521,-476.00,164.56
2026-01-11 18:10:37.727,-466.00,135.78
2026-01-11 18:10:38.018,-459.00,155.98
2026-01-11 18:10:38.220,-435.00,176.00
2026-01-11 18:10:38.457,-435.00,176.00
2026-01-11 18:10:38.659,-411.00,255.77
2026-01-11 18:10:38.860,-411.00,193.83
2026-01-11 18:10:39.197,-389.00,144.28
2026-01-11 18:10:39.398,-329.00,199.93
2026-01-11 18:10:39.722,-302.00,170.67
2026-01-11 18:10:39.923,-271.00,178.67
2026-01-11 18:10:40.254,-210.00,152.78
2026-01-11 18:10:40.458,-178.00,193.37
2026-01-11 18:10:40.661,-104.00,183.99
2026-01-11 18:10:40.963,-104.00,148.77
2026-01-11 18:10:41.165,-23.00,173.60
2026-01-11 18:10:41.440,85.00,137.74
2026-01-11 18:10:41.642,171.00,183.30
2026-01-11 18:10:41.847,171.00,188.08
2026-01-11 18:10:42.171,217.00,174.39
2026-01-11 18:10:42.375,335.00,175.53
2026-01-11 18:10:42.729,429.00,178.63
2026-01-11 18:10:43.056,462.00,136.51
2026-01-11 18:10:43.257,496.00,196.83
2026-01-11 18:10:43.585,559.00,138.06
